2020-11-21 23:21:37,192 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /atcrowdfunding05-common-util/src/main/java
2020-11-21 23:21:37,193 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /atcrowdfunding05-common-util/src/main/resources
2020-11-21 23:21:37,193 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /atcrowdfunding05-common-util/src/test/java
2020-11-21 23:21:37,193 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /atcrowdfunding05-common-util/src/test/resources
2020-11-21 23:21:37,627 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:21:37,635 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:21:37,635 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:21:37,642 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:22:07,950 [Worker-64] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.atguigu.crowd:atcrowdfunding06-common-reverse:0.0.1-SNAPSHOT @ D:\04_Eclipse_workspace\sgproject\atcrowdfunding06-common-reverse\pom.xml.
2020-11-21 23:22:08,107 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /atcrowdfunding06-common-reverse/src/main/java
2020-11-21 23:22:08,107 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /atcrowdfunding06-common-reverse/src/main/resources
2020-11-21 23:22:08,107 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /atcrowdfunding06-common-reverse/src/test/java
2020-11-21 23:22:08,107 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /atcrowdfunding06-common-reverse/src/test/resources
2020-11-21 23:22:08,393 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:22:08,400 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:22:08,401 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:22:08,408 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:22:30,462 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:22:30,470 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:22:30,471 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:22:30,477 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:22:46,568 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:22:46,575 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:22:46,576 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:22:46,583 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:47:31,287 [Worker-71] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.atguigu.crowd:atcrowdfunding02-admin-webui:0.0.1-SNAPSHOT @ D:\04_Eclipse_workspace\sgproject\atcrowdfunding01-admin-parent\atcrowdfunding02-admin-webui\pom.xml.
2020-11-21 23:47:31,813 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:47:31,821 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:47:31,822 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:47:31,829 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:47:31,829 [Worker-71] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of atcrowdfunding02-admin-webui
2020-11-21 23:47:31,829 [Worker-71] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for atcrowdfunding02-admin-webui
2020-11-21 23:47:31,832 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:48:14,314 [Worker-72] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.atguigu.crowd:atcrowdfunding03-admin-component:0.0.1-SNAPSHOT @ D:\04_Eclipse_workspace\sgproject\atcrowdfunding01-admin-parent\atcrowdfunding03-admin-component\pom.xml.
